field_id,Wheat,Mustard,Lentil,No Crop,Green pea,Sugarcane,Garlic,Maize,Gram,Coriander,Potato,Bersem,Rice
11,0.19635999999999998,0.22612000000000004,0.07772000000000001,0.13364,0.02084,0.28024000000000004,0.00212,0.018160000000000003,0.0005200000000000001,0.0009599999999999999,0.01916,0.00316,0.020999999999999998
13,0.45931999999999995,0.16868,0.10516,0.13999999999999999,0.029279999999999997,0.0706,0.007520000000000001,0.00068,0.0028399999999999996,0.0048000000000000004,0.0034,0.00432,0.0034000000000000002
19,0.32439999999999997,0.24536000000000002,0.13808,0.089,0.028360000000000003,0.15836,0.00164,0.00108,0.0012000000000000001,0.004800000000000001,0.003239999999999999,0.00356,0.00092
21,0.10115999999999999,0.21203999999999998,0.1466,0.21384,0.0376,0.22708000000000003,0.013519999999999999,0.00416,0.0064800000000000005,0.0013599999999999999,0.0262,0.007360000000000001,0.0026000000000000003
25,0.17980000000000002,0.045520000000000005,0.08668,0.66452,0.00356,0.013319999999999999,0.0008,0.00016,0.0006399999999999999,0.00043999999999999996,0.00047999999999999996,0.0030000000000000005,0.00108
26,0.18760000000000002,0.12456,0.4414,0.13348000000000002,0.02852,0.05816,0.00188,0.00056,0.0052,0.00164,0.0035600000000000002,0.01336,8e-05
29,0.17108,0.17824,0.21151999999999999,0.14708,0.022160000000000003,0.222,0.003919999999999999,0.0037999999999999996,0.00916,0.0030800000000000007,0.014079999999999999,0.013519999999999999,0.00036
39,0.049600000000000005,0.2372,0.05855999999999999,0.05008,0.008280000000000001,0.5080399999999999,0.00224,0.00112,0.004240000000000001,0.0017599999999999998,0.07103999999999999,0.007520000000000001,0.00032
44,0.21031999999999995,0.23748,0.022879999999999998,0.1806,0.01608,0.26008,0.00592,0.03284,0.00404,0.0016,0.01884,0.006919999999999999,0.0024000000000000002
48,0.0944,0.26652000000000003,0.1322,0.13424,0.03112,0.24364,0.00984,0.005439999999999999,0.01568,0.0030400000000000006,0.03184,0.03128,0.00076
52,0.28687999999999997,0.15672,0.05876,0.3590399999999999,0.04404,0.046,0.015799999999999998,0.0005200000000000001,0.0066,0.015639999999999998,0.003640000000000001,0.00616,0.0002
63,0.23732,0.2466,0.0642,0.12872,0.021760000000000005,0.2704,0.00476,0.00468,0.0066,0.0017599999999999998,0.00988,0.00284,0.00047999999999999996
64,0.13692000000000001,0.19008,0.06264,0.09064,0.01276,0.4727999999999999,0.0032,0.00464,0.00396,0.005720000000000001,0.01272,0.0037999999999999996,0.00012000000000000002
65,0.24680000000000002,0.18604,0.104,0.09476,0.05872,0.15067999999999998,0.027520000000000003,0.02684,0.00936,0.0142,0.04259999999999999,0.009040000000000001,0.029440000000000004
67,0.40676,0.09939999999999999,0.16704,0.31323999999999996,0.0026000000000000007,0.006240000000000001,0.0006,0.0,0.0016799999999999999,0.00156,0.00012000000000000002,0.0007199999999999999,4e-05
68,0.32848,0.12992,0.1782,0.2858,0.01228,0.04504,0.0012799999999999999,0.00016,0.0036399999999999996,0.00392,0.0018799999999999997,0.009040000000000001,0.00035999999999999997
69,0.3779599999999999,0.08288000000000001,0.10631999999999998,0.42303999999999997,0.00248,0.0042,0.0005600000000000001,0.0,0.00084,0.00108,0.00016,0.00048000000000000007,0.0
79,0.17343999999999998,0.13976,0.014,0.16748000000000002,0.01028,0.43795999999999996,0.00468,0.01564,0.0009199999999999999,0.0035999999999999995,0.020319999999999998,0.00204,0.00988
90,0.12668,0.2698,0.05308,0.08807999999999999,0.05055999999999999,0.35407999999999995,0.004320000000000001,0.01032,0.00436,0.0019999999999999996,0.020679999999999997,0.0148,0.0012399999999999996
92,0.12832,0.29624,0.0394,0.11832000000000001,0.034,0.33508000000000004,0.00984,0.005359999999999999,0.00372,0.0020399999999999997,0.016280000000000003,0.01,0.0014
94,0.09244000000000001,0.17912,0.049519999999999995,0.1056,0.059840000000000004,0.19340000000000004,0.08596000000000001,0.007919999999999998,0.01736,0.0078000000000000005,0.17687999999999998,0.02344,0.0007199999999999999
95,0.18895999999999993,0.47312000000000004,0.05208000000000001,0.062360000000000006,0.09324000000000003,0.034480000000000004,0.027119999999999995,0.00028000000000000003,0.04076,0.013600000000000001,0.00336,0.010639999999999998,0.0
99,0.15103999999999995,0.23552,0.0298,0.08995999999999998,0.020479999999999998,0.44032,0.00152,0.008839999999999999,0.0026799999999999997,0.0012399999999999998,0.00928,0.008879999999999999,0.00044000000000000007
105,0.10175999999999999,0.01676,0.019559999999999998,0.85232,0.002,0.00596,0.00019999999999999998,4e-05,0.00028,0.00035999999999999997,0.00012000000000000002,0.00039999999999999996,0.00023999999999999998
109,0.43016,0.1916,0.050480000000000004,0.15203999999999998,0.04604,0.10303999999999999,0.00784,0.0025599999999999998,0.00088,0.00172,0.0057599999999999995,0.00248,0.005399999999999999
119,0.15259999999999999,0.22024000000000002,0.15644,0.11411999999999997,0.01868,0.28996,0.005719999999999999,0.0015200000000000003,0.00584,0.0098,0.015200000000000002,0.00968,0.0002
129,0.14567999999999998,0.37244,0.04736,0.04772,0.03672,0.27636,0.017839999999999998,0.00136,0.02172,0.00908,0.00892,0.01468,0.00012000000000000002
146,0.11198344827586205,0.1300841379310345,0.014780689655172414,0.3356441379310345,0.006313103448275862,0.2585696551724138,0.0016179310344827586,0.027357241379310344,0.0010055172413793105,0.0012468965517241379,0.038424827586206904,0.0012882758620689654,0.0716841379310345
148,0.12976000000000001,0.14187999999999998,0.01744,0.4278,0.0078,0.0832,0.0006799999999999999,0.0362,0.00012000000000000002,0.0015199999999999997,0.042080000000000006,0.00076,0.11076
151,0.29124000000000005,0.20859999999999995,0.10807999999999998,0.14096,0.16948,0.05920000000000001,0.006,0.00012000000000000002,0.00516,0.0036800000000000005,0.0020000000000000005,0.00508,0.00039999999999999996
160,0.07188,0.12844,0.037360000000000004,0.15639999999999998,0.00956,0.5708799999999999,0.0029999999999999996,0.00068,0.0037199999999999993,0.0026,0.011519999999999999,0.0037600000000000003,0.0002
162,0.2542,0.14107999999999998,0.43079999999999996,0.02776,0.01804,0.030040000000000004,0.03476,0.00016,0.039920000000000004,0.014800000000000002,0.0050799999999999994,0.00332,4e-05
166,0.14087999999999998,0.19952000000000006,0.15116000000000002,0.1934,0.01092,0.25676,0.002,0.006119999999999999,0.00344,0.0022800000000000003,0.014400000000000001,0.01684,0.00228
168,0.19004000000000001,0.12079999999999999,0.26872,0.09780000000000001,0.05416000000000001,0.24216,0.00396,0.00024000000000000003,0.00268,0.00328,0.006039999999999999,0.009760000000000001,0.00036
169,0.26344,0.18647999999999998,0.20772000000000004,0.10855999999999999,0.02024,0.18008,0.0018799999999999997,0.0008,0.00236,0.01184,0.007599999999999998,0.00892,8e-05
180,0.63416,0.07204,0.08159999999999999,0.19507999999999998,0.004399999999999999,0.0072,0.00104,8e-05,0.00124,0.00172,0.00044,0.00096,4e-05
182,0.7353599999999999,0.05851999999999999,0.048639999999999996,0.14324,0.00492,0.00448,0.0016799999999999996,8e-05,0.00132,0.0009199999999999999,0.00016,0.00068,0.0
183,0.14487999999999998,0.35184,0.04136000000000001,0.19492,0.03384,0.17647999999999997,0.00672,0.0024,0.00428,0.00236,0.028520000000000004,0.01004,0.00236
187,0.36472000000000004,0.22780000000000003,0.10224000000000001,0.11788,0.04536,0.12524,0.004879999999999999,0.00024,0.0027199999999999998,0.0025599999999999998,0.0033200000000000005,0.00292,0.00012000000000000002
189,0.1616,0.19296,0.04224,0.14300000000000002,0.0172,0.38608000000000003,0.00976,0.0030000000000000005,0.01012,0.001,0.027520000000000006,0.0051199999999999996,0.0004
191,0.13576,0.23579999999999998,0.06876,0.12272,0.007680000000000001,0.39044,0.0028400000000000005,0.0032,0.00212,0.01076,0.00872,0.00992,0.0012799999999999999
196,0.11755999999999998,0.12983999999999998,0.01996,0.4288400000000001,0.01,0.13164,0.0016399999999999997,0.03624,0.00016,0.00308,0.04048,0.001,0.07955999999999999
208,0.21567999999999998,0.2364,0.04876000000000001,0.20504,0.0288,0.21054,0.004079999999999999,0.00754,0.0106,0.0017399999999999996,0.01508,0.01324,0.0025
209,0.14455999999999997,0.24419999999999994,0.0422,0.19444000000000006,0.09351999999999999,0.22427999999999998,0.0028,0.0067599999999999995,0.010680000000000002,0.0014000000000000002,0.017839999999999998,0.01624,0.00108
212,0.48408000000000007,0.152,0.16912000000000002,0.10447999999999999,0.01856,0.06172000000000001,0.0023599999999999997,0.0002,0.00064,0.0019200000000000003,0.0006,0.0037599999999999995,0.00056
213,0.25048,0.25528000000000006,0.0794,0.15084000000000003,0.006959999999999999,0.23212000000000002,0.0015199999999999997,0.0029199999999999994,0.0014000000000000004,0.0034,0.0076,0.00372,0.00436
217,0.55732,0.19260000000000002,0.035239999999999994,0.08948,0.016599999999999997,0.09356,0.00224,0.0017199999999999997,0.00056,0.0026,0.00392,0.0021600000000000005,0.002
219,0.17507999999999999,0.06628,0.037880000000000004,0.6045599999999999,0.034839999999999996,0.05016,0.008,0.0016799999999999996,0.005880000000000001,0.00224,0.00972,0.00352,0.00016
220,0.2292,0.047639999999999995,0.02204,0.6192,0.01536,0.04584,0.00464,0.0012400000000000002,0.00268,0.00232,0.006200000000000001,0.0034400000000000003,0.0002
221,0.2902,0.07592,0.039959999999999996,0.46804000000000007,0.030600000000000002,0.06536,0.00684,0.0025200000000000005,0.00288,0.00276,0.010320000000000001,0.00408,0.00052
222,0.48131999999999997,0.08012,0.04220000000000001,0.24259999999999998,0.039720000000000005,0.07848,0.007,0.0019999999999999996,0.00476,0.0051199999999999996,0.01108,0.0051600000000000005,0.00044
226,0.12748,0.19712000000000005,0.08016000000000001,0.1122,0.00964,0.43828000000000006,0.00216,0.00112,0.0026,0.011679999999999998,0.0096,0.0070799999999999995,0.00088
236,0.30377599999999993,0.198296,0.19596800000000003,0.07638,0.052968,0.104656,0.032472,0.000628,0.008992,0.008812,0.0078119999999999995,0.008740000000000001,0.0005
238,0.1308,0.21172000000000002,0.04536,0.21195999999999998,0.018439999999999998,0.25108,0.00284,0.06820000000000001,0.00132,0.0011200000000000001,0.03508,0.00796,0.01412
239,0.10144,0.31312,0.015080000000000001,0.32632,0.012600000000000002,0.17243999999999998,0.003,0.01448,0.0012000000000000001,0.0013200000000000002,0.024599999999999997,0.00396,0.01044
250,0.4538399999999999,0.14964,0.14468000000000003,0.06440000000000001,0.04631999999999999,0.08436,0.021599999999999994,0.00016,0.01168,0.014080000000000002,0.00544,0.00372,8e-05
251,0.6141199999999999,0.11923999999999998,0.13488,0.03448,0.050640000000000004,0.01788,0.00512,0.0,0.007840000000000001,0.00836,0.0037999999999999996,0.00356,8e-05
252,0.429,0.19787999999999997,0.051959999999999985,0.06984,0.06776,0.03672,0.06472,0.0006799999999999999,0.056960000000000004,0.00844,0.006800000000000001,0.00912,0.00012000000000000003
260,0.25692000000000004,0.17764000000000002,0.12628,0.0524,0.12236,0.030160000000000003,0.012280000000000001,0.0002,0.02096,0.006000000000000001,0.18296000000000004,0.011840000000000002,0.0
262,0.25288,0.24412,0.13808,0.19923999999999997,0.026000000000000002,0.12015999999999999,0.0036399999999999996,0.00028000000000000003,0.0028799999999999997,0.00712,0.00264,0.0028,0.00016
